open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1755383400000,117435.6,117565.6,117435.6,117488.1,235705,1755385199999,200.59062620,2176,192111,163.49578754,0
1755385200000,117488.0,117490.1,117303.9,117303.9,115416,1755386999999,98.29826657,1356,51236,43.63381435,0
1755387000000,117300.3,117481.6,117300.2,117410.4,179282,1755388799999,152.73174920,1814,134762,114.80286746,0
1755388800000,117410.5,117410.5,117304.1,117370.0,172750,1755390599999,147.20775646,2049,98042,83.54930797,0
1755390600000,117370.0,117441.5,117261.6,117270.0,191939,1755392399999,163.60519574,2401,61859,52.71976412,0
1755392400000,117269.5,117349.0,117179.9,117330.0,207442,1755394199999,176.93447125,2657,99521,84.88381948,0
1755394200000,117328.0,117521.9,117316.3,117448.0,228451,1755395999999,194.51613629,2564,175003,149.01204486,0
1755396000000,117448.0,117567.0,117411.0,117567.0,43027,1755397799999,36.62519638,1340,27608,23.49894820,0
1755397800000,117568.0,117642.0,117461.3,117629.8,72464,1755399599999,61.64245651,1639,44788,38.09798434,0
1755399600000,117628.0,117646.7,117540.2,117593.9,170515,1755401399999,145.01089232,1743,113039,96.13109372,0
1755401400000,117593.9,117781.0,117584.2,117714.0,148002,1755403199999,125.74910571,1909,101462,86.21590769,0
1755403200000,117714.1,117805.3,117714.0,117805.2,104231,1755404999999,88.51548238,1380,70818,60.14295802,0
1755405000000,117805.3,118221.9,117805.2,118105.9,391603,1755406799999,331.71179741,4804,262432,222.32276182,0
1755406800000,118105.9,118275.0,118050.5,118163.9,383992,1755408599999,324.95833330,4926,165291,139.87986760,0
1755408600000,118163.9,118178.3,118025.9,118032.5,133699,1755410399999,113.22931774,2121,51052,43.23473243,0
1755410400000,118032.5,118146.0,118032.5,118132.4,62568,1755412199999,52.98298409,1258,46742,39.58298957,0
1755412200000,118132.3,118132.3,117931.4,117950.2,207234,1755413999999,175.64998729,2286,94426,80.03451205,0
1755414000000,117950.2,118076.6,117815.2,117990.4,374219,1755415799999,317.26098662,3019,188947,160.12500172,0
1755415800000,117990.4,118043.9,117892.1,118030.0,218100,1755417599999,184.90207489,1590,59642,50.55316274,0
1755417600000,118030.0,118062.3,117960.6,118024.2,103405,1755419399999,87.63116232,1155,68144,57.75080805,0
1755419400000,118024.2,118425.8,118024.1,118410.1,421420,1755421199999,356.42394751,4829,323942,274.03779974,0
